"JournalID","Title","Publisher","Theme","StartMonth","EndMonth","Year","Volume","Number","CopiesNo","PhotocopiesNo","ISSN","Subscriber","Shelf","Language","Available"
"196","COMMUNICATION OUTLOOK","ISAAC","A Multiple-Port Puff and Sip Input Device, Using A Computer-Based AAC System, A New Voice for the National Anthem, Augmentative/Alternative Communication","16","null","1992","14","2","0","1","0161-4128","CS","G123","English","1"
"197","COMMUNICATION OUTLOOK","ISAAC","A New Voice, An Innovative International Computer Communication Project","14","null","1992","14","3","0","1","0161-4128","CS","G123","English","1"
"198","COMMUNICATION OUTLOOK","ISAAC","ISAAC's Fifth Biennial Conference, Ontario's First Computer Olympics, How Well do you Know Assistive Technology?","13","null","1992","14","4","0","1","0161-4128","CS","G123","English","1"
"199","COMMUNICATION OUTLOOK","ISAAC","Focusing on Communication Aids and Techniques","15","null","1993","15","1","1","0","0161-4128","CS","G123","English","1"
"200","COMMUNICATION OUTLOOK","ISAAC","Celebrating the 10th Anniversay of ISAAC/Michael Williams discusses his personal experiences with Assistive Technology/Parents with Speech Involvement and their Children","16","null","1993","15","2","1","0","0161-4128","CS","G123","English","1"
"201","COMMUNICATION OUTLOOK","ISAAC","Focusing on Communication Aids and Techniques.","14","null","1993","15","3","1","0","0161-4128","CS","G123","English","1"
"202","COMMUNICATION OUTLOOK","ISAAC","Systems for Integrated Access to Alternative Communication, Mobility, Computers and the Home Environment","13","null","1993","15","4","1","0","0161-4128","CS","G123","English","1"
"203","COMMUNICATION OUTLOOK","ISAAC","Identifying the Source of the Communication/Reading and Writing within Autism","15","null","1994","16","1","1","0","0161-4128","CS","G123","English","1"
"204","COMMUNICATION OUTLOOK","ISAAC","AAC users and Employment, An interactive communication board for children, A Non-vocal communications interface","16","null","1994","16","2","1","0","0161-4128","CS","G123","English","2"
"205","COMMUNICATION OUTLOOK","ISAAC","7th Annual ACES Institute - A Chance to Gain a Voice/Putting Children with Disabilities in Touch with the World","14","null","1994","16","3","1","0","0161-4128","CS","G123","English","1"
"206","COMMUNICATION OUTLOOK","ISAAC","Inside: Inclusion + Technology = Friendships/Finding the Source-But not Turning Off the Light/Policy Statements Issued on Facilitated Communication","13","null","1994","16","4","1","0","0161-4128","CS","G123","English","1"
"208","COMMUNICATIONS OF THE ACM","ACM","Interactive Technologies","7","null","1989","32","7","0","1","0001-0782","CS","CS-LIB","English","1"
"209","COMMUNICATIONS OF THE ACM","ACM","Digital Multimedia Systems","4","null","1991","34","4","0","1","0001-0782","CS","CS-LIB","English","1"
"210","COMMUNICATIONS OF THE ACM","ACM","Next-Generation Database Systems","10","null","1991","34","10","0","1","0001-0782","CS","CS-LIB","English","1"
"211","COMMUNICATIONS OF THE ACM","ACM","Collaborative Computing","12","null","1991","34","12","0","1","0001-0782","CS","CS-LIB","English","1"
"212","COMMUNICATIONS OF THE ACM","ACM","Hypermedia","1","null","1992","35","1","0","1","0001-0782","CS","CS-LIB","English","1"
