"BooksReaderID","BookID","ReaderID","DateIssued","ReturnedDate","Type"
"809","745","111","2005-02-02 00:00:00.0","null","Copy"
"810","3226","111","2005-02-02 00:00:00.0","null","Copy"
"811","2201","111","2005-02-02 00:00:00.0","null","Copy"
"812","374","111","2005-02-02 00:00:00.0","null","Copy"
"813","1666","111","2005-02-02 00:00:00.0","null","Copy"
"835","1574","111","2005-02-03 00:00:00.0","null","Copy"
"836","804","111","2005-02-03 00:00:00.0","null","Copy"
"837","1663","111","2005-02-03 00:00:00.0","null","Copy"
"838","797","111","2005-02-03 00:00:00.0","null","Copy"
"839","2780","111","2005-02-03 00:00:00.0","null","Copy"
"840","623","111","2005-02-03 00:00:00.0","null","Copy"
"841","624","111","2005-02-03 00:00:00.0","null","Copy"
"842","625","111","2005-02-03 00:00:00.0","null","Copy"
"843","2094","111","2005-02-02 00:00:00.0","null","Copy"
"844","1483","111","2005-02-02 00:00:00.0","null","Copy"
"845","1444","111","2005-02-02 00:00:00.0","null","Copy"
"846","1548","111","2005-02-02 00:00:00.0","null","Copy"
"847","1837","111","2005-02-02 00:00:00.0","null","Copy"
"848","2090","111","2005-02-02 00:00:00.0","null","Copy"
"849","50","111","2005-02-02 00:00:00.0","null","Copy"
"850","51","111","2005-02-02 00:00:00.0","null","Copy"
"851","785","111","2005-02-02 00:00:00.0","null","Copy"
"852","852","111","2005-02-02 00:00:00.0","null","Copy"
"853","1659","111","2005-02-02 00:00:00.0","null","Copy"
"854","1172","111","2005-02-02 00:00:00.0","null","Copy"
"855","1844","111","2005-02-02 00:00:00.0","null","Copy"
"856","926","111","2005-02-02 00:00:00.0","null","Copy"
"857","651","111","2005-02-02 00:00:00.0","null","Copy"
"858","787","111","2005-02-02 00:00:00.0","null","Copy"
"859","893","111","2005-02-02 00:00:00.0","null","Copy"
"860","53","111","2005-02-02 00:00:00.0","null","Copy"
"861","2400","111","2005-02-02 00:00:00.0","null","Copy"
"862","2925","111","2005-02-02 00:00:00.0","null","Copy"
"863","2902","111","2005-02-02 00:00:00.0","null","Copy"
"864","1230","111","2005-02-04 00:00:00.0","null","Copy"
