BookID,BookTopicID,TopicID
731,2961,8
732,2962,10
733,2963,7
734,2964,22
735,2965,261
736,2966,7
737,2967,54
738,2968,3
739,2969,3
740,2970,89
741,2971,53
742,2972,10
743,2973,14
746,2976,5
747,2977,23
748,2978,76
749,2979,51
750,2980,92
751,2981,14
752,2982,22
753,2983,139
754,2984,139
755,2985,139
756,2986,26
757,2987,21
758,2988,22
759,2989,25
760,2990,42
761,2991,81
762,2992,26
763,2993,63
764,2994,48
765,2995,73
766,2996,82
767,2997,140
768,2998,73
769,2999,141
770,3000,142
771,3001,63
772,3002,25
773,3003,22
774,3004,250
775,3005,103
776,3006,10
777,3007,22
778,3008,143
779,3009,22
780,3010,37
781,3011,26
782,3012,15
783,3013,72
784,3014,14
785,3015,181
786,3016,30
787,3017,181
788,3018,116
789,3019,15
790,3020,86
791,3021,22
792,3022,257
793,3023,257
794,3024,42
795,3025,104
796,3026,92
797,3027,76
798,3028,42
799,3029,90
801,3031,90
802,3032,42
803,3033,196
804,3034,89
805,3035,70
806,3036,119
807,3037,9
808,3038,9
809,3039,23
810,3040,23
811,3041,10
812,3042,42
813,3043,29
814,3044,7
815,3045,9
816,3046,26
817,3047,25
819,3049,76
820,3050,140
821,3051,14
822,3052,14
823,3053,19
824,3054,103
825,3055,42
826,3056,14
827,3057,90
828,3058,108
829,3059,108
830,3060,42
831,3061,15
832,3062,92
833,3063,25
834,3064,90
835,3065,123
836,3066,25
837,3067,207
838,3068,10
839,3069,15
840,3070,10
841,3071,8
842,3072,8
843,3073,7
844,3074,58
845,3075,29
846,3076,24
847,3077,68
848,3078,15
849,3079,76
850,3080,42
851,3081,138
852,3082,89
853,3083,82
854,3084,132
855,3085,22
856,3086,29
857,3087,15
858,3088,250
859,3089,6
860,3090,14
861,3091,14
862,3092,146
863,3093,14
864,3094,14
865,3095,14
866,3096,37
867,3097,21
868,3098,21
869,3099,12
870,3100,14
871,3101,14
872,3102,10
873,3103,51
874,3104,42
875,3105,37
876,3106,12
877,3107,10
878,3108,147
879,3109,148
880,3110,148
881,3111,42
882,3112,42
883,3113,22
884,3114,142
885,3115,196
886,3116,26
887,3117,9
888,3118,9
889,3119,42
890,3120,23
891,3121,23
892,3122,23
893,3123,26
894,3124,22
896,3126,7
897,3127,42
898,3128,42
899,3129,42
900,3130,42
901,3131,82
902,3132,92
903,3133,250
904,3134,63
905,3135,51
906,3136,14
907,3137,14
908,3138,14
909,3139,103
910,3140,22
911,3141,251
912,3142,5
913,3143,15
914,3144,14
915,3145,92
916,3146,152
917,3147,76
918,3148,207
920,3150,207
921,3151,72
922,3152,14
923,3153,29
924,3154,10
925,3155,31
