BookID,Category,CopiesNo,CoverType,FotocopiesNo,ISBN,Includes,Origin,PublicationYear,Publisher,Shelf,Theme,Title
127,manual,1,paperback,0,001050000005030,,rti lab.,1995,autodesk,g117,"this manual is a comprehensive guide to autocad commands, lists all autocad  commands in alphabetical order.",autocad command reference
128,manual,1,paperback,0,001050000005040,,rti lab.,1995,autodesk,g117,"this manual is a general-purpose drafting system designed with an open architecture, so you can customize and extend its many features.",autocad customization guide
129,manual,1,paperback,0,001050000005050,,rti lab.,1995,autodesk,g117,this manual is an overview of the complete documentation set for autocad release 13 and explains how to navigate the printed and electronic documents.,autocad documentation guide
130,manual,1,paperback,0,001050002005000,,rti lab.,1995,autodesk,g117,this manual explains how to install and configure your system for autocad release 13.,autocad installation guide for dos
131,manual,1,paperback,0,001050014005000,,rti lab.,1995,autodesk,g117,this manual lists the hardware and software required to run autocad and describes how to use the autocad for windows setup program for either a single user or a network.,autocad installation guide for windows
132,manual,1,paperback,0,001050000005010,,rti lab.,1995,autodesk,g117,this manual is a series of exercises designed to get you working with autocad as quickly as possible.,autocad leaning autocad for dos and unix
133,manual,1,without cover,0,001050020005110,,rti lab.,1995,autodesk,g117,this supplement provides the information necessary for proper installation of autocad for windows nt.,autocad release 13 installation instructions for windows nt
134,manual,1,paperback,0,001050000005020,,rti lab.,1995,autodesk,g117,this manual describes autocad's powerful features and their procedures with a step-by-step graphical approach.,autocad user's guide
135,manual,1,paperback,0,015050002005020,,rti lab.,1994,autodesk,g117,this manual provides additional information about specific topics for advanced users of 3d studio.,autodesk 3d studio advanced user's guide
136,manual,1,paperback,0,015050002005000,,rti lab.,1994,autodesk,g117,this manual provides all the information needed to install and configure 3d studio.,autodesk 3d studio installation guide
137,manual,1,paperback,0,015050002005010,,rti lab.,1994,autodesk,g117,this manual explains the new features of autodesk 3d studio and also provides important information regarding installation.,autodesk 3d studio new features
138,manual,1,paperback,0,015050002005030,,rti lab.,1994,autodesk,g117,autodesk 3d studio is a three-dimensional modeling and animation application program for your desktop computer.,autodesk 3d studio reference manual
139,manual,1,paperback,0,015050002005040,,rti lab.,1994,autodesk,g117,these tutorials introduce you to many of the features in autodesk 3d studio release 3.,autodesk 3d studio tutorials
140,manual,1,paperback,0,,,rti lab.,1994,autodesk,g117,"animation player for dos is a flic ""projector"" program that lets you play animations or display pictures, one at a time or following a text script file.",autovision animation players manual
141,manual,1,paperback,0,,,rti lab.,1994,autodesk,g117,this manual explains how to run autovision under both dos and microsoft windows.,autovision user's guide and reference
142,manual,1,paperback,0,,,rti lab.,1994,autodesk,g117,this manual describes how to set up and use the application examples and viewers distributed with the cyberspace developer kit (cdk).,cyberspace developer kit application examples and viewers
143,manual,1,paperback,0,,,rti lab.,1994,autodesk,g117,"the cyberspace developer kit (cdk) is an object-oriented programming library for creating interactive, 3-dimensional visualization and simulation software.",cyberspace developer kit programmer's guide
144,manual,1,paperback,0,,,rti lab.,1994,autodesk,g117,this manual is a reference to the classes provided by the autodesk cyberspace developer kit (cdk).,cyberspace developer kit reference manual
145,book,1,paperback,0,0471930180,,cs,1991,john wiley & sons,g123,"this book describes tools, techniques and validation and verification criteria; discusses particular projects; and includes a survey of developers.","validation, verification and tests of knowledge-based systems"
146,book,1,hardbound,0,074840127x,,cs,1993,taylor & francis,g121,this book deals with two important technologies in human-computer interaction: computer generation of synthetic speech and computer recognition of human speech.,interactive speech technology human factors issues in the application of speech input/output to comp
147,proceedings,1,paperback,0,,,cs,1994,applied science & engineering laboratories,,"proceedings of the fourth internatioanl conference on rehabilitation robotics, 14, 15, 16 june 1994, a.i. dupont institute wilmington delaware, usa. δωρεα στη  βιβλιοθηκη ιπ-ιτε.",fourth international conference on rehabilitation robotics
148,book,1,paperback,0,0471589284,,cs,1994,john wiley & sons,g123,"this book will show you how to use the software on the cd to create real multimedia presentations, and will help you create your own artwork, sound files, and more.",creating multimedia on your pc
149,book,1,hardbound,0,0195073592,,cs,1993,oxford university press,,"this book constitutes the state of the art in simulating human figures, discusses the many areas of application and predicts the future in this exciting, fast moving field.",simulating humans: computer graphics animation and control
150,book,1,hardbound,0,0893911445,,cs,1982,ablex publishing corporation,g122,this book presents current research in interactive system design and human information processing.,directions in human-computer interaction
