BookID,BooksReaderID,DateIssued,ReaderID,ReturnedDate,Type
2427,359,1998-09-07 00:00:00.0,7,2001-10-25 00:00:00.0,copy
2690,360,1998-09-07 00:00:00.0,7,2001-10-25 00:00:00.0,copy
2689,361,1998-09-07 00:00:00.0,7,2001-10-25 00:00:00.0,copy
1122,362,1998-09-07 00:00:00.0,7,2001-10-25 00:00:00.0,copy
3261,363,2001-09-06 00:00:00.0,10,2001-11-20 00:00:00.0,copy
3262,364,2001-09-06 00:00:00.0,10,2001-11-20 00:00:00.0,copy
2462,365,2001-08-02 00:00:00.0,66,2001-11-23 00:00:00.0,copy
2415,366,2001-08-02 00:00:00.0,66,2001-11-23 00:00:00.0,copy
858,367,2001-08-02 00:00:00.0,66,2001-11-23 00:00:00.0,copy
2472,368,2001-08-02 00:00:00.0,66,2001-11-23 00:00:00.0,copy
2402,369,2001-08-02 00:00:00.0,66,2001-11-23 00:00:00.0,copy
2085,370,2001-08-02 00:00:00.0,66,2001-11-23 00:00:00.0,copy
3265,371,2001-11-30 00:00:00.0,24,2001-12-05 00:00:00.0,copy
3213,372,2001-07-25 00:00:00.0,76,2001-12-14 00:00:00.0,copy
3246,373,2001-07-25 00:00:00.0,72,2001-12-14 00:00:00.0,copy
3216,374,2001-05-31 00:00:00.0,18,2001-12-14 00:00:00.0,copy
3216,375,2001-12-14 00:00:00.0,79,2002-01-14 00:00:00.0,copy
2743,376,2001-09-21 00:00:00.0,73,2002-01-14 00:00:00.0,copy
2829,377,2001-04-30 00:00:00.0,8,2002-01-14 00:00:00.0,copy
3255,378,2001-08-02 00:00:00.0,8,2002-01-14 00:00:00.0,copy
1276,379,2001-08-02 00:00:00.0,8,2002-01-14 00:00:00.0,copy
3221,380,2001-06-01 00:00:00.0,43,2001-01-15 00:00:00.0,copy
3221,381,2001-06-01 00:00:00.0,43,2002-01-15 00:00:00.0,copy
3216,382,2002-01-14 00:00:00.0,15,2002-02-06 00:00:00.0,copy
1504,383,2001-09-13 00:00:00.0,8,2002-05-14 00:00:00.0,copy
2970,384,1999-05-06 00:00:00.0,22,2002-05-14 00:00:00.0,copy
3319,385,2002-05-27 00:00:00.0,73,2002-05-28 00:00:00.0,photocopy
3185,386,2001-08-02 00:00:00.0,66,2002-06-05 00:00:00.0,copy
78,387,2001-08-02 00:00:00.0,66,2002-06-05 00:00:00.0,copy
3341,388,2002-07-22 00:00:00.0,42,2002-07-23 00:00:00.0,copy
2461,389,2001-02-23 00:00:00.0,54,2002-10-07 00:00:00.0,copy
2797,390,2000-09-28 00:00:00.0,54,2002-10-07 00:00:00.0,photocopy
2797,391,2001-09-20 00:00:00.0,43,2002-10-07 00:00:00.0,copy
3346,392,2002-08-23 00:00:00.0,43,2002-10-07 00:00:00.0,photocopy
3310,393,2002-10-07 00:00:00.0,83,2002-10-07 00:00:00.0,copy
3274,394,2002-05-30 00:00:00.0,52,2002-10-16 00:00:00.0,copy
3320,395,2002-05-27 00:00:00.0,73,2002-11-19 00:00:00.0,photocopy
3332,396,2002-06-10 00:00:00.0,81,2002-11-28 00:00:00.0,copy
3156,397,2001-02-02 00:00:00.0,59,2001-02-09 00:00:00.0,copy
2742,398,1997-12-10 00:00:00.0,8,2003-01-21 00:00:00.0,copy
2659,399,2001-08-02 00:00:00.0,8,2003-01-21 00:00:00.0,copy
3210,400,2002-05-20 00:00:00.0,52,2003-02-11 00:00:00.0,copy
3300,401,2002-02-20 00:00:00.0,37,2003-02-14 00:00:00.0,copy
3210,402,2003-02-11 00:00:00.0,88,2003-02-15 00:00:00.0,copy
3156,403,2001-02-09 00:00:00.0,62,2003-02-17 00:00:00.0,copy
3341,404,2002-07-23 00:00:00.0,73,2003-03-07 00:00:00.0,copy
3274,405,2002-03-19 00:00:00.0,42,2003-03-13 00:00:00.0,copy
3091,406,2001-03-27 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3240,407,2001-07-10 00:00:00.0,55,2003-05-26 00:00:00.0,copy
2812,408,2001-03-27 00:00:00.0,55,2003-05-26 00:00:00.0,copy
1789,409,2001-03-27 00:00:00.0,55,2003-05-26 00:00:00.0,copy
2501,410,2001-08-02 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3226,411,2001-07-10 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3079,412,2001-04-05 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3238,413,2001-07-10 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3214,414,2001-05-25 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3239,415,2001-07-10 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3224,416,2001-07-10 00:00:00.0,55,2003-05-26 00:00:00.0,copy
2792,417,2001-07-10 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3212,418,2001-05-25 00:00:00.0,55,2003-05-26 00:00:00.0,copy
2894,419,2001-07-17 00:00:00.0,55,2003-05-26 00:00:00.0,copy
3229,420,2002-12-03 00:00:00.0,64,2003-07-16 00:00:00.0,copy
3370,421,2002-12-13 00:00:00.0,64,2003-07-16 00:00:00.0,copy
3341,422,2003-03-07 00:00:00.0,76,2003-07-16 00:00:00.0,copy
2742,423,2003-01-21 00:00:00.0,23,2003-07-17 00:00:00.0,copy
1031,424,2003-01-21 00:00:00.0,23,2003-07-17 00:00:00.0,copy
2659,425,2003-01-21 00:00:00.0,23,2003-07-17 00:00:00.0,copy
2594,426,2002-03-29 00:00:00.0,83,2003-08-06 00:00:00.0,copy
2597,427,2002-03-29 00:00:00.0,83,2003-08-06 00:00:00.0,copy
3274,428,2002-03-21 00:00:00.0,54,2003-08-08 00:00:00.0,copy
