source_db,old_topic_id,old_topic_name,new_book_topic_id
db1,336,Benchmarking,f5cb405e-61a2-484f-a3d3-97ae8de50f9f
db1,337,Teleworking,ea681ac5-4db7-45db-b474-14957a88324b
db1,338,Mathematical models,dda707c6-1d05-4781-9351-4968d249c35d
db1,339,Guidelines,b82bbf5e-0d6b-49ae-bcf2-9934cdfcb69a
db1,340,Computer Networks,a0ae096b-2e3d-4c59-b9d9-974070794d27
db1,341,Graphical User Interfaces,ed82555b-c7b2-483e-a044-6a61e2057667
db1,342,Web Design,9f9b3ff3-cfe9-44de-b1d0-d259bfddaf49
db1,343,e-commerce,132d2157-4939-4c0d-a457-3583b9ae8d27
db1,344,Animation,f77f947e-939b-4c9c-ada5-ace0ad50a903
db1,345,Instructional Systems,bd74d82b-77a1-4668-aab6-8d1b0e4d2843
db1,346,Decision Making,cccf1fa1-e8d8-4f30-a409-8f2f3d11ba85
db1,347,Computer-aided design,7f1c47e4-76f9-4dbb-a306-caafebec0ff9
db1,348,Task Analysis,a61adbd9-c666-46bf-bcb4-3a8f4255f117
db1,349,Wearable Computers,aa9323de-7800-4368-b266-2b6b03cf50d7
db1,350,Markup Languages,c7b9d5e2-4a03-48b1-8ce3-4ebbf51a104e
db1,351,International Studies,8f97ae92-9eea-4be1-aeb0-7b48ff6ac28b
db1,352,Collaboration,b2caa557-630f-4ddc-8fe8-f28f2ddecedc
db1,353,Web ,942c77d9-c5bc-43e3-9fcb-179388998a7b
db1,354,XML,5b458809-cec5-478b-ab5e-da4ad873f2df
db1,355,SQL,c15d1f30-72c4-416b-835e-887c62fd7b7d
db1,356,Signs/Symbols,dffdc2f4-5a95-487e-96da-6c72d0417c3d
db1,357,Computing Systems,727b83af-58d7-44ea-9c64-a5634f3a851a
db1,358,Pictorial Symbols,f8931388-d24c-45c8-9e20-df5f0135ec45
db1,359,Machine Learning,61994aef-f902-43d4-836f-4f55d8bbb83d
db1,360,Empirical Evaluation,440fec78-5e19-418b-9785-83177bfc70ca
db1,361,Adaptive Systems,7694c58c-b804-4cd6-a8a5-4cedde26f684
db1,362,Contracts,43e35e96-ae87-495f-89b3-ee04a0ca40e9
db1,363,Universal Access,f4588b7f-e797-4fee-8259-915870e8430b
db1,364,Industrial Engineering,ed52df76-7946-4997-942e-0887a82c4314
db1,365,Medical Informatics,d3a800d5-141d-48a4-9ac5-649cb305b096
db1,366,Special Education,0b4739f6-2acd-48f5-8bd1-32b46d9755f5
db1,367,Game-Based learning,8389db0d-bdee-4269-a6c5-edc9f14bfea0
db1,368,XSLT,e320f75b-0de4-4fc9-8212-2fb56a3e55e4
db1,369,Human Communication,e8f8487e-c51c-450c-be8a-f845672ed29e
db1,370,Cybernetics,c0f570f5-b133-472c-8afa-c7464c08947d
db1,371,Presentation,dc364d3c-7784-4862-90b3-ba76549b8473
db1,372,Semantic Web,c240117a-e56d-418a-97f8-6a8799980a39
db1,373,Image Education,e56fe1be-db10-40b4-a6e6-6d056c1b0859
db1,374,Design for All,43962c51-23db-48d1-af0a-44798fa4a839
db1,375,Software Design,5398b666-6f3a-45b3-931b-2103806ecc15
db1,376,Support Systems,4b648ec9-8094-470e-a575-5482f5de7708
db1,377,ICT,920bcf40-f624-4155-bbc1-e8a5c0ec0c4f
db1,378,Uniquitous Computing,ad57e8dd-74ab-4fe0-ab61-9757d4858182
db1,379,Ubiquitous Computing,30673f48-4ce7-4ed4-a00d-72067b3dc339
db1,380,Numerical simulation,74cf5dfb-95e8-4af4-b171-97dc537fca97
db1,381,Human Engineering,b72bf82a-90d6-4c7b-8ea5-cc14048fd8ce
db1,382,System Design,2b7dd80d-4cf2-47be-8957-d5765a08cc6b
db1,383,Research,d1bfb082-ed24-47a5-ba39-c8c95c28fbfa
db1,384,mobile communication,55176cfe-d67d-4b12-84db-0327ddbd0052
db1,385,C++,0b1bfc0d-7c43-4bd3-ad5e-4e35f9caea91
db1,386,C#,0c2b598c-e563-43f3-8a1f-72d47db4841e
db1,388,Inclusive design,f01ae14b-59db-42a0-a3a6-90339a3ec87a
